N;Acre;AC
NE; Alagoas;AL
N; Amapá;AP
N; Amazonas;AM
NE; Bahia;BA
NE; Ceará;CE
CW; Distrito Federal;DF
SE; Espírito Santo;ES
CW; Goiás;GO
NE; Maranhão;MA
CW; Mato Grosso;MT
CW; Mato Grosso do Sul;MS
SE; Minas Gerais;MG
N; Pará;PA
NE; Paraíba;PB
S; Paraná;PR
NE; Pernambuco;PE
NE; Piauí;PI
SE; Rio de Janeiro;RJ
NE; Rio Grande do Norte;RN
S; Rio Grande do Sul;RS
N; Rondônia;RO
N; Roraima;RR
S; Santa Catarina;SC
SE; São Paulo;SP
NE; Sergipe;SE
N; Tocantins;TO
